void_fraction,surface_area_m2g,pld,lcd,surface_area_m2cm3
0.8,4377,8.4,11.7,2122
0.82,4945,8.7,13.1,1932
0.83,4774,9.0,13.0,1935
0.82,4379,9.2,13.4,1991
0.86,6330,10.4,13.4,1874
0.93,7182,21.9,23.2,1394
0.97,7705,33.4,44.7,538
0.85,6405,9.0,14.6,1959
0.01,0,0.8,2.7,0
0.0,0,0.7,2.2,0
0.03,0,0.9,3.2,0
0.03,0,1.1,2.7,0
0.01,0,0.6,2.8,0
0.01,0,0.5,2.6,0
0.0,0,0.2,1.6,0
0.15,0,1.6,4.1,0
0.25,28,2.1,4.7,34
0.98,7255,32.5,44.4,521
0.35,99,2.4,5.2,106
0.44,213,2.8,5.7,255
0.55,473,3.5,5.9,381
0.59,722,3.9,6.5,550
0.7,2275,4.7,7.1,1431
0.6,1010,3.6,7.1,829
0.62,1183,4.4,8.0,1056
0.66,2205,5.0,7.6,1403
0.07,0,1.5,3.1,0
0.71,2891,5.0,9.3,1761
0.97,6724,32.5,43.8,516
0.73,2558,5.5,8.8,1726
0.68,2097,4.7,9.0,1482
0.72,2779,5.5,9.3,1744
0.74,3229,6.4,9.7,1798
0.76,3357,6.6,9.5,1924
0.75,3161,6.3,10.0,2010
0.82,5764,7.1,10.5,2285
0.73,2918,5.9,9.8,1780
0.77,4311,6.9,10.6,1975
0.12,0,1.5,3.7,0
0.98,8380,36.9,50.5,462
0.78,4208,7.4,11.4,2045
0.65,2140,4.9,9.9,1403
0.73,3855,6.4,11.9,1864
0.72,3907,6.4,11.2,1901
0.79,5074,7.4,11.7,2054
0.81,4993,7.7,12.4,2116
0.8,3740,7.5,11.6,1899
0.82,5574,7.2,10.6,2249
0.82,5209,8.3,12.8,2031
0.82,4965,8.1,12.4,1993
0.98,8795,34.1,45.4,504
0.19,0,2.2,3.6,0
0.81,4897,8.2,12.3,2036
0.83,5414,8.9,12.9,2004
0.84,4937,9.0,13.4,2045
0.85,5465,10.1,14.9,1848
0.85,5265,10.6,15.0,1839
0.85,4849,10.2,14.9,1879
0.88,6741,11.5,15.7,1761
0.87,6780,11.1,16.5,1816
0.23,6,1.7,4.5,7
0.89,4987,11.9,19.7,1681
0.16,0,1.8,3.8,0
0.28,19,2.1,4.7,26
0.27,47,1.8,4.9,60
0.1,2,1.7,4.3,3
0.14,18,1.4,4.6,26
0.0,0,0.6,1.3,0
0.45,400,3.8,5.8,397
0.5,558,4.0,6.2,541
0.61,1189,4.5,6.7,995
0.65,1480,5.2,7.4,1360
0.9,4964,13.5,21.2,1501
0.68,2392,5.3,7.9,1515
0.69,2506,5.5,8.1,1565
0.75,3828,6.2,8.6,1967
0.71,2486,6.2,9.0,1593
0.71,2364,6.2,9.6,1671
0.75,3354,7.1,9.9,1705
0.29,23,2.7,4.5,30
0.78,3816,7.6,10.8,1887
0.78,3197,6.9,10.0,1840
0.76,3076,7.6,11.1,1758
0.88,4755,14.6,21.0,1381
0.79,3715,8.0,11.1,1882
0.8,4146,8.8,12.3,1871
0.81,4264,8.4,11.5,1982
0.81,3854,8.8,12.3,1969
0.85,6695,9.0,11.6,2238
0.79,3718,7.9,12.3,1857
0.82,5179,8.6,12.8,1964
0.45,11,3.2,4.5,12
0.82,4984,8.9,12.8,2004
0.73,3214,8.6,11.6,1717
0.89,5272,13.7,21.2,1590
0.78,4526,9.4,13.1,1809
0.77,4643,9.0,12.7,1869
0.83,5633,9.6,13.5,1909
0.84,5564,10.2,13.4,1968
0.84,4542,9.9,13.7,1863
0.86,6439,8.8,13.3,2153
0.85,5809,10.0,13.6,1911
0.86,5823,10.0,14.3,1916
0.47,230,4.0,5.0,232
0.85,5636,9.5,13.9,1941
0.89,4956,14.1,20.3,1563
0.87,6192,10.6,15.1,1916
0.87,5506,10.9,15.4,1888
0.88,6022,11.8,17.5,1709
0.88,5843,11.6,16.8,1723
0.88,5360,12.2,17.1,1738
0.9,7240,12.6,18.7,1621
0.89,7329,12.4,18.2,1691
0.36,81,3.1,5.2,91
0.27,46,2.5,4.8,57
0.44,266,4.2,5.2,303
0.68,1886,5.4,7.4,1682
0.74,2489,7.7,11.9,1916
0.46,306,2.6,5.6,333
0.26,42,3.0,5.1,49
0.36,153,2.8,5.9,177
0.9,5430,9.7,13.4,1923
0.92,6835,15.2,19.8,1374
0.91,6580,16.7,18.9,1331
0.93,7028,15.9,19.9,1274
0.93,6465,16.3,20.3,1215
0.93,7531,16.7,21.1,1207
0.93,7609,16.8,21.6,1176
0.89,4942,15.6,22.3,1406
0.94,7969,18.8,22.3,1088
0.94,7373,19.1,23.7,1066
0.94,6947,19.1,24.7,1038
0.95,7998,20.7,24.9,984
0.9,6426,12.8,16.9,1552
0.95,7996,21.2,24.7,983
0.95,7311,21.1,27.1,918
0.96,7337,21.1,27.4,919
0.96,7552,22.3,28.1,882
0.96,7875,23.1,27.9,862
0.89,4851,13.8,19.3,1478
0.96,7656,23.0,28.2,853
0.96,6994,23.4,27.9,815
0.96,8670,23.5,27.0,827
0.96,7611,21.7,27.7,883
0.96,8344,23.9,29.2,798
0.91,6688,13.4,17.2,1508
0.96,7859,24.2,28.6,794
0.95,8161,20.9,29.0,948
0.96,8674,24.1,28.0,845
0.96,8531,24.4,28.2,834
0.91,5411,15.2,20.8,1410
0.96,8831,24.8,29.5,784
0.96,8308,25.7,29.5,757
0.97,7635,26.7,30.3,744
0.96,8648,24.9,29.7,761
0.96,8652,25.3,29.6,762
0.97,8386,26.8,31.5,710
0.91,7002,14.1,17.6,1470
0.96,8222,25.6,31.5,718
0.97,8564,27.8,32.1,692
0.97,7676,27.2,31.8,654
0.91,5038,15.5,22.3,1336
0.97,8397,29.5,34.6,615
0.97,8015,29.7,34.8,601
0.97,7337,29.4,35.3,580
0.97,9065,32.3,36.5,556
0.97,9217,31.5,36.0,568
0.91,6622,14.8,18.0,1447
0.91,6608,12.6,18.3,1550
0.92,6426,14.4,18.5,1389
0.91,6679,16.1,19.0,1370
0.91,6650,14.3,19.0,1442
0.92,6128,16.8,24.1,1278
0.91,6439,14.7,19.2,1401
0.55,737,3.9,6.5,674
0.83,5075,8.9,12.4,1962
0.84,4971,9.2,12.7,1942
0.84,5802,9.8,13.3,1931
0.87,5393,10.1,13.5,1894
0.91,7743,11.6,15.7,1699
0.91,6512,12.4,17.2,1601
0.91,6055,12.9,17.0,1574
0.92,7684,13.9,17.6,1515
0.92,6326,16.7,24.5,1301
0.8,4608,6.9,10.3,2239
0.92,7396,14.2,17.6,1472
0.93,6592,14.8,19.9,1372
0.93,6884,15.7,20.4,1304
0.93,7349,16.6,20.0,1272
0.93,7081,16.8,20.4,1251
0.93,6449,17.0,20.5,1206
0.94,8842,15.8,20.4,1228
0.93,6997,15.4,21.1,1303
0.82,5100,7.5,10.7,2179
0.94,6895,16.8,23.2,1226
0.93,7267,14.9,22.0,1348
0.94,8496,17.4,20.9,1259
0.93,8089,17.8,21.2,1204
0.95,8901,18.0,22.4,1160
0.95,8288,18.4,22.6,1120
0.95,7111,18.6,24.6,1077
0.95,8767,18.3,22.3,1131
0.94,8366,18.4,22.5,1089
0.95,8061,19.6,23.9,1012
0.84,5712,8.0,10.7,2248
0.94,6005,19.7,29.1,1053
0.95,7863,20.0,24.2,1027
0.95,8308,20.7,25.0,982
0.95,7369,21.2,24.9,931
0.96,8144,22.9,27.1,861
0.96,7667,23.1,27.9,836
0.96,7002,23.6,27.7,814
0.96,8972,25.1,29.7,762
0.96,9381,24.4,28.7,796
0.83,5125,7.8,11.6,2227
0.85,5115,8.5,11.4,2084
0.94,5661,18.0,25.3,1113
0.82,4758,9.5,12.9,1898
0.8,4729,8.1,11.7,2052
0.81,4705,8.4,12.2,2024
0.48,360,3.1,6.1,360
0.82,4917,8.6,11.9,2001
0.83,4829,9.0,12.4,1983
0.83,5590,8.9,12.5,1991
0.86,5218,9.4,12.9,1973
0.87,6608,9.7,13.1,1957
0.88,6853,10.3,14.5,1887
0.64,1175,4.4,7.2,1174
0.95,6957,20.5,27.9,1034
0.9,7622,11.0,15.0,1782
0.9,6366,11.9,16.6,1655
0.9,5945,12.7,16.4,1632
0.91,7472,13.3,17.3,1563
0.78,4236,6.4,10.1,2211
0.91,7302,13.5,17.2,1532
0.93,6554,14.1,18.7,1414
0.92,6473,14.5,19.6,1422
0.93,6783,15.0,19.5,1357
0.93,7251,16.0,19.3,1315
0.84,4343,10.9,16.4,1891
0.93,7008,16.3,19.5,1297
0.93,6343,16.5,20.2,1255
0.94,8753,15.2,19.8,1279
0.93,6885,15.5,20.1,1349
0.94,8032,16.4,21.5,1210
0.8,4612,6.8,10.0,2186
0.93,7500,16.3,21.3,1201
0.92,7026,14.4,21.3,1376
0.93,8202,16.5,20.3,1279
0.93,7876,17.3,20.6,1234
0.95,6774,21.2,29.4,970
0.94,8719,17.5,21.8,1193
0.94,8171,17.8,21.9,1160
0.95,7037,18.0,23.5,1115
0.95,8698,17.6,21.5,1175
0.94,8300,17.9,21.7,1125
0.95,8010,18.8,23.5,1050
0.82,5305,7.7,10.0,2283
0.94,7809,18.7,23.3,1059
0.95,8269,19.9,24.1,1018
0.95,7293,20.6,24.6,959
0.96,6726,26.2,37.6,759
0.96,8098,22.6,27.1,890
0.96,7625,22.2,27.1,863
0.95,6933,22.5,27.2,842
0.96,8927,24.6,28.4,785
0.96,9273,24.0,28.1,818
0.83,4970,8.0,11.6,2164
0.8,4658,7.3,10.4,2250
0.83,4855,8.3,11.4,2155
0.82,4512,9.4,12.2,1940
0.79,4474,7.8,11.3,2059
0.95,6173,22.7,31.6,914
0.8,4365,7.9,11.8,2037
0.71,2285,5.4,8.3,1569
0.86,5674,10.7,14.2,1818
0.85,5402,10.8,13.8,1797
0.89,6246,11.4,14.9,1765
0.89,5802,11.9,15.4,1792
0.89,7185,12.1,15.6,1718
0.89,7363,12.9,16.8,1635
0.92,7917,13.6,17.1,1533
0.92,6855,14.1,18.6,1440
0.96,6441,23.5,32.8,852
0.92,6420,14.4,18.2,1444
0.93,7828,15.4,19.4,1375
0.85,5575,8.6,12.6,2130
0.93,7693,15.3,19.8,1348
0.94,6912,16.8,22.3,1215
0.94,6847,16.5,21.8,1249
0.94,7157,17.4,22.1,1190
0.94,7584,18.1,22.1,1161
0.94,7305,17.5,22.4,1158
0.94,6673,18.5,23.1,1160
0.95,6785,23.2,30.8,863
0.95,8882,17.9,22.0,1120
0.94,7261,17.5,23.2,1176
0.95,8310,18.7,23.9,1100
0.85,5838,9.5,12.5,2100
0.94,7723,18.3,24.6,1106
0.93,7702,17.3,22.2,1284
0.94,8632,18.3,22.7,1152
0.94,8392,19.3,23.3,1125
0.95,8965,19.2,24.1,1055
0.95,8358,19.7,23.7,1017
0.96,6543,24.3,34.1,808
0.96,7331,20.0,26.0,984
0.95,8796,19.1,24.1,1028
0.95,8538,19.8,25.1,1013
0.95,8231,21.1,26.0,928
0.86,6187,9.9,12.3,2089
0.95,8032,21.0,27.4,930
0.96,8450,21.9,26.9,905
0.96,7523,23.1,26.4,877
0.96,8281,24.3,29.7,790
0.96,7809,24.5,29.6,775
0.95,6075,23.3,32.0,813
0.96,7146,24.7,29.7,780
0.97,9065,25.9,31.4,706
0.97,9420,25.1,31.0,734
0.87,5832,10.0,14.1,1938
0.87,5753,9.0,13.1,2072
0.88,5663,10.4,13.8,1889
0.85,5523,11.1,14.0,1856
0.85,5548,9.7,14.9,1924
0.86,5382,10.3,13.9,1865
0.84,4752,8.5,11.5,2094
0.96,7906,21.6,29.8,845
0.9,6588,13.1,17.8,1614
0.9,6359,13.6,17.3,1557
0.92,6954,14.1,18.1,1490
0.92,6335,14.2,18.4,1410
0.93,7666,14.6,19.2,1400
0.93,7782,14.5,19.6,1380
0.94,8260,16.6,20.8,1261
0.94,7382,16.5,21.7,1254
0.94,6896,16.6,22.1,1221
0.95,8234,17.6,23.3,1150
0.67,2053,5.2,7.2,1922
0.96,6521,23.3,34.4,862
0.88,6213,11.0,14.9,1825
0.94,8172,17.7,23.1,1143
0.95,7337,18.2,24.7,1068
0.95,7326,18.6,26.0,1076
0.95,7584,19.8,25.6,1021
0.95,7970,19.9,25.1,992
0.95,7717,19.9,26.1,981
0.95,7010,20.3,26.7,935
0.95,9124,20.6,25.8,945
0.95,7675,19.6,25.8,1023
0.96,7457,24.8,36.2,783
0.96,8649,20.8,26.7,927
0.9,6519,11.0,15.1,1774
0.96,8065,21.8,27.0,904
0.95,8254,19.4,24.5,1116
0.95,9002,20.6,25.8,989
0.95,8825,20.5,26.7,974
0.96,9241,21.1,26.7,905
0.96,8594,21.6,27.1,869
0.96,7684,22.4,29.8,857
0.96,9012,21.8,28.0,874
0.87,4792,11.2,17.2,1760
0.96,8943,22.0,28.2,870
0.96,8582,23.5,29.9,803
0.9,6988,12.4,15.8,1716
0.96,8409,23.0,29.7,818
0.96,8789,23.7,30.2,787
0.96,7784,25.3,30.4,745
0.97,8571,26.0,33.2,700
0.97,8127,26.6,33.4,681
0.97,7384,26.7,33.3,654
0.97,9350,27.9,35.1,626
0.96,7029,25.4,35.3,780
0.97,9586,27.1,33.4,646
0.91,6506,11.8,16.7,1672
0.9,6411,11.5,15.6,1774
0.9,6256,12.7,16.7,1613
0.9,6492,13.0,17.3,1623
0.89,6451,11.9,17.1,1741
0.89,6160,13.4,17.3,1662
0.55,750,3.8,6.5,680
0.82,5092,9.0,12.7,1963
0.83,4966,9.1,12.6,1941
0.95,6936,22.9,33.9,913
0.83,5808,9.7,13.0,1935
0.87,5394,10.3,13.6,1899
0.91,7760,11.9,15.5,1696
0.91,6509,12.4,16.6,1608
0.91,6090,12.8,17.0,1565
0.92,7419,14.1,17.7,1473
0.8,4647,7.5,10.6,2198
0.92,7694,13.9,17.8,1510
0.93,6586,14.5,20.2,1369
0.93,6905,15.3,20.7,1301
0.96,7677,24.5,33.3,832
0.93,7362,16.4,20.1,1277
0.93,7091,16.3,20.0,1270
0.93,6447,16.8,20.7,1212
0.94,8852,16.1,20.3,1226
0.93,7009,15.3,21.2,1287
0.82,4991,7.5,10.5,2171
0.93,7326,14.7,21.9,1357
0.94,8472,17.3,21.2,1251
0.93,8090,17.8,21.3,1200
0.95,8920,18.0,22.5,1159
0.95,7508,24.0,32.9,824
0.95,8303,18.5,22.5,1119
0.95,7123,18.7,24.0,1065
0.94,8373,18.3,22.3,1086
0.95,8790,18.3,22.2,1130
0.95,8083,19.8,24.6,1019
0.84,5730,8.2,10.9,2247
0.95,7874,18.9,23.9,1026
0.95,8321,20.5,24.9,983
0.95,7383,21.0,25.1,932
0.96,8172,22.9,27.2,867
0.96,8111,24.3,33.3,785
0.96,7678,23.4,27.5,837
0.96,7004,22.9,27.5,818
0.96,8986,24.6,28.8,763
0.97,9390,24.7,28.9,795
0.83,5169,8.5,10.9,2205
0.84,5189,8.8,12.1,2099
0.82,4773,9.8,12.7,1895
0.8,4768,8.2,12.3,2036
0.81,4747,8.6,12.3,2047
0.48,280,3.2,5.7,278
0.96,7629,24.8,33.8,756
0.82,4891,8.5,11.9,1982
0.83,4808,9.1,12.2,1971
0.83,5634,9.5,12.8,1991
0.86,5236,9.6,13.0,1969
0.87,6666,9.6,13.1,1932
0.88,6885,10.2,14.7,1890
0.9,7636,11.4,14.9,1779
0.9,6361,11.7,15.9,1684
0.9,5954,12.2,16.8,1605
0.91,7316,13.2,17.2,1534
0.97,6689,28.1,39.1,687
0.78,4340,6.5,10.0,2207
0.91,7516,13.3,17.3,1564
0.93,6561,14.2,19.0,1409
0.92,6506,14.1,18.9,1429
0.93,6799,14.9,20.0,1357
0.93,7283,15.7,20.1,1320
0.93,7022,15.6,19.7,1306
0.93,6357,16.4,20.0,1255
0.94,8776,15.5,19.7,1278
0.93,6906,15.1,20.2,1355
0.63,1635,7.7,9.7,1361
0.97,7942,24.9,34.3,749
0.94,8048,16.6,20.8,1213
0.8,4668,6.8,10.3,2196
0.93,7490,17.0,21.1,1200
0.92,7049,14.4,21.8,1377
0.93,8207,16.7,20.6,1275
0.93,7880,17.3,20.6,1230
0.94,8749,17.6,21.8,1193
0.94,8185,18.0,21.8,1158
0.95,7048,18.2,23.8,1097
0.94,8314,17.8,21.7,1124
0.96,7703,26.2,34.8,722
0.94,8721,17.7,21.5,1177
0.95,8028,19.3,24.4,1059
0.82,5349,7.7,10.2,2284
0.94,7813,18.5,23.0,1066
0.95,8262,20.1,24.3,1013
0.95,7307,20.6,24.5,962
0.96,8108,22.3,26.9,889
0.96,7626,22.6,26.7,863
0.95,6925,23.1,26.9,840
0.96,8938,24.5,28.2,785
0.97,7459,30.3,41.2,633
0.96,9268,24.0,28.4,816
0.83,5025,7.9,12.7,2162
0.82,4883,7.4,10.0,2256
0.83,4874,8.5,11.7,2125
0.82,4559,9.3,12.2,1944
0.78,4355,8.2,11.4,2003
0.8,4405,8.4,11.9,2031
0.72,2699,5.3,8.0,1793
0.86,5715,10.4,14.6,1813
0.86,5399,10.6,13.9,1767
0.89,5439,11.8,17.3,1808
0.89,6239,11.4,15.4,1745
0.89,5775,11.5,15.4,1721
0.89,7103,11.9,15.8,1676
0.89,7318,12.4,17.5,1619
0.92,7904,13.5,17.6,1515
0.92,6843,14.1,19.1,1435
0.92,6412,14.3,18.7,1412
0.93,7669,15.0,20.2,1333
0.84,5534,8.5,12.1,2118
0.93,7858,15.2,20.0,1363
0.97,7295,28.7,39.9,648
0.94,6915,16.7,22.3,1220
0.94,6840,16.2,22.5,1250
0.94,7117,16.8,22.3,1188
0.94,7557,17.6,22.3,1161
0.94,7298,17.6,22.8,1143
0.94,6663,18.4,22.5,1110
0.95,8867,18.0,22.4,1109
0.94,7232,17.0,22.6,1168
0.95,8318,19.2,24.0,1057
0.86,5759,8.7,12.6,2043
0.97,7681,28.2,38.5,638
0.94,7747,18.8,23.7,1076
0.93,7566,16.1,22.8,1254
0.94,8668,18.3,22.8,1149
0.94,8356,18.8,23.5,1115
0.95,8937,19.1,24.1,1048
0.95,8355,19.6,24.4,1014
0.96,7336,20.4,26.7,972
0.95,8519,19.4,24.7,996
0.95,8793,19.4,24.4,1024
0.96,8213,20.8,26.3,927
0.97,6935,28.5,38.6,613
0.86,6236,9.6,12.8,2044
0.95,8011,20.2,26.1,936
0.96,8467,21.9,27.4,907
0.96,7510,22.0,27.3,866
0.96,8288,24.2,30.2,799
0.96,7820,24.3,30.6,778
0.96,7147,24.8,30.7,761
0.97,9061,26.6,32.3,708
0.97,9368,25.6,31.1,732
0.87,5812,10.3,14.0,1941
0.97,7625,33.3,45.4,539
0.87,5668,9.9,13.0,2034
0.87,5649,10.4,13.8,1907
0.85,5455,10.2,13.6,1813
0.85,5343,10.2,14.3,1876
0.85,5340,9.8,14.4,1891
0.84,4726,8.5,11.6,2091
0.9,6599,13.2,18.5,1586
0.9,6360,13.5,17.2,1563
0.92,6929,13.8,18.2,1480
0.92,6329,14.3,18.6,1413
0.97,7196,31.1,41.2,550
0.93,7669,14.6,19.6,1397
0.93,7790,14.7,19.6,1373
0.94,8262,16.1,21.1,1260
0.94,7359,16.6,22.0,1244
0.94,6889,16.9,22.0,1212
0.94,8146,17.9,23.5,1136
0.88,6228,10.6,14.7,1846
0.94,8231,17.7,23.6,1151
0.95,7344,18.5,24.9,1081
0.95,7315,18.6,25.2,1076
0.97,6665,32.1,43.1,529
0.95,7582,19.4,25.1,1020
0.95,7980,19.6,25.5,994
0.95,7719,20.0,25.5,983
0.95,7000,20.8,26.4,936
0.95,9126,20.1,26.0,945
0.95,7663,19.5,25.6,1024
0.96,8659,20.4,27.0,936
0.9,6540,11.6,14.9,1754
0.96,8055,21.0,26.6,909
0.95,8280,18.7,24.3,1122
0.65,1640,6.0,9.7,1435
0.98,8322,35.8,48.3,473
0.95,9001,20.3,26.1,989
0.95,8825,20.3,26.5,974
0.96,9241,20.7,26.7,906
0.96,8603,21.1,26.9,871
0.96,7676,22.5,28.7,853
0.96,8914,22.0,28.3,866
0.96,9007,21.5,27.8,876
0.96,8549,23.2,30.3,806
0.9,6979,12.2,16.0,1717
0.96,8365,23.3,29.6,821
0.98,8720,31.9,42.5,534
0.96,8775,23.8,30.4,786
0.96,7779,24.4,30.6,741
0.97,8569,25.9,32.8,699
0.97,8119,26.3,33.3,680
0.97,7381,27.1,34.2,658
0.97,9340,28.0,34.9,625
0.97,9568,27.0,33.3,645
0.91,6460,12.0,16.0,1692
0.9,6442,11.4,16.0,1783
0.9,6215,11.9,16.2,1671
0.89,4883,14.0,21.9,1491
0.9,6515,13.0,17.1,1621
0.89,6318,12.3,17.1,1689
0.89,6087,13.0,17.3,1643
0.3,8,3.3,4.5,15
0.61,1180,6.7,7.4,1115
0.56,830,5.0,6.7,806
0.7,1821,7.3,8.7,1500
0.72,2032,7.3,8.8,1734
0.76,2871,7.5,9.0,1942
0.77,3073,7.8,9.5,2024
0.88,4777,12.2,19.8,1681
0.81,4197,8.8,10.9,2461
0.77,2429,9.4,10.3,1635
0.78,2667,9.2,10.2,1809
0.8,3447,9.8,11.3,1920
0.74,2819,7.3,9.7,2215
0.8,3449,9.8,11.3,1922
0.78,2689,10.5,11.9,1649
0.82,2634,11.0,11.5,1614
0.81,2809,11.7,12.2,1616
0.88,6064,11.0,12.9,2317
0.89,4775,13.1,20.4,1561
0.82,3316,11.5,12.3,1739
0.82,3592,11.6,12.7,1964
0.86,5600,11.3,13.3,2351
0.83,3319,11.7,12.4,1771
0.93,6457,19.1,22.6,1205
0.66,1333,5.5,7.0,1331
0.93,5977,17.7,21.6,1200
0.8,4256,5.6,8.5,2412
0.83,5377,9.3,11.0,2492
0.82,5042,9.8,11.3,2348
0.88,4608,14.3,19.5,1444
0.86,6427,9.8,12.0,2644
0.86,5790,10.8,12.6,2442
0.83,2883,13.7,14.2,1522
0.85,4836,12.7,14.0,1997
0.85,4854,12.7,14.0,2005
0.95,6720,22.7,27.4,976
0.71,1931,6.3,7.6,1797
0.94,6501,20.4,25.5,1022
0.85,4172,14.6,15.4,1669
0.86,4890,14.3,15.5,2030
0.88,5080,13.1,20.7,1640
0.96,7002,26.7,31.2,827
0.96,6528,23.2,27.5,860
0.96,5941,25.6,29.3,798
0.94,7655,17.9,20.4,1344
0.91,7791,14.2,16.5,1989
0.68,1752,6.1,7.0,1561
0.68,1595,5.6,6.8,1508
0.69,1824,6.0,7.5,1665
0.77,3339,8.8,12.0,1870
0.5,430,4.7,5.6,461
0.87,4734,13.1,19.0,1650
0.59,557,4.4,6.8,570
0.77,2545,7.2,8.2,2139
0.58,985,6.0,7.0,860
0.57,963,5.0,6.4,824
0.8,3234,8.0,8.4,1934
0.88,4721,12.3,14.2,1775
0.83,5380,8.8,9.5,2627
0.92,6110,15.7,17.7,1453
0.85,5881,9.6,10.1,2647
0.9,6178,10.6,13.5,1906
0.83,3706,9.0,14.2,1912
0.92,5660,14.1,16.6,1540
0.84,4766,10.7,11.0,2141
0.86,4110,11.8,12.9,1812
0.78,3045,8.3,9.1,1700
0.93,6266,15.1,18.3,1423
0.84,3311,11.4,11.9,1743
0.92,6561,12.2,15.0,1741
0.94,6866,19.3,20.7,1240
0.9,6577,11.4,13.0,1994
0.93,5915,18.4,20.5,1243
0.92,5593,16.5,23.9,1261
0.89,7268,12.2,12.4,2417
0.95,6670,17.8,20.8,1209
0.87,6309,12.6,13.4,2272
0.86,4368,10.6,12.4,1848
0.94,6989,15.8,20.1,1238
0.74,1759,5.2,6.8,1158
0.81,4294,10.2,10.6,2038
0.82,5177,10.2,11.3,2214
0.83,4547,12.3,12.6,1919
0.88,6584,13.0,13.3,2332
0.65,1552,8.0,9.6,1367
0.9,5416,15.1,22.3,1313
0.94,6833,14.5,18.3,1411
0.87,5845,13.0,13.5,2071
0.82,3908,11.8,12.6,1719
0.94,7587,16.1,21.2,1194
0.77,2608,6.2,7.3,1891
0.94,7372,18.7,22.4,1161
0.87,6066,14.0,14.7,2101
0.88,6212,14.2,14.7,2239
0.93,7762,14.9,18.0,1474
0.95,7278,19.6,25.0,976
0.93,5913,17.9,25.4,1156
0.95,6592,22.0,26.2,917
0.89,6839,16.8,17.8,1945
0.9,7910,14.8,15.5,2241
0.88,4756,11.8,14.3,1747
0.89,4709,13.0,14.9,1757
0.89,4485,12.8,15.1,1641
0.55,699,5.2,5.9,628
0.46,268,5.7,7.2,263
0.55,821,6.2,7.7,758
0.7,918,4.1,6.2,1035
0.93,5552,16.7,23.8,1176
0.62,1195,6.3,7.1,1013
0.59,764,6.0,6.6,685
0.61,1095,5.6,7.2,997
0.81,3627,7.1,8.8,2395
0.83,4882,7.3,9.0,2560
0.91,5784,14.6,16.7,1527
0.86,5511,8.3,9.4,2636
0.77,2335,9.5,10.2,1512
0.91,5367,13.7,17.0,1547
0.83,4402,10.5,10.9,2113
0.94,6635,18.6,26.9,1103
0.84,3679,9.0,11.6,1992
0.75,2535,9.6,9.8,1515
0.94,5852,20.4,24.0,1115
0.84,3103,11.9,12.2,1700
0.93,6310,12.5,16.2,1554
0.93,6705,15.7,19.3,1335
0.83,3808,12.2,12.8,1789
0.86,4818,12.3,12.5,2245
0.89,6810,12.0,12.3,2434
0.94,6462,14.7,17.8,1379
0.94,6787,18.2,26.3,1105
0.94,7187,16.4,19.4,1229
0.85,4080,9.1,11.2,1978
0.86,5865,12.7,13.4,2311
0.79,2107,5.7,6.9,1323
0.79,3258,9.9,10.4,1759
0.78,3446,11.2,11.4,1769
0.83,4157,10.9,11.4,1886
0.88,6127,13.1,13.5,2294
0.95,6628,16.6,22.3,1159
0.87,5650,13.3,13.5,2064
0.95,7216,18.3,26.6,1017
0.81,3334,13.0,13.2,1569
0.95,7394,20.8,24.9,1008
0.77,2148,4.7,5.7,1688
0.94,7196,16.0,21.8,1161
0.86,4672,14.9,15.4,1722
0.88,5801,15.0,15.2,2177
0.96,7567,21.5,26.2,918
0.96,7109,21.7,26.2,892
0.93,6430,16.7,19.8,1358
0.89,5987,17.6,17.9,1753
0.95,6475,21.4,29.7,960
0.9,7599,14.5,15.4,2263
0.88,4497,11.5,13.4,1801
0.88,4240,13.5,16.0,1742
0.55,612,4.3,5.7,656
0.72,1783,5.6,6.7,1365
0.51,738,5.9,6.5,721
0.54,890,6.4,7.1,857
0.45,10,2.7,4.2,14
0.62,1267,4.7,7.1,1077
0.55,683,4.7,7.0,617
0.95,6140,20.0,28.5,974
0.68,1579,5.0,7.4,1275
0.87,4436,9.8,13.3,1860
0.89,5419,10.7,14.8,1753
0.9,5558,13.1,15.9,1614
0.84,5257,6.7,8.8,2754
0.91,5706,13.0,18.5,1512
0.78,2913,7.8,10.2,1836
0.78,2576,8.0,10.1,1550
0.84,3664,10.1,13.8,1784
0.74,2450,8.0,9.7,1484
0.96,7318,21.8,30.6,886
0.94,5776,19.2,24.3,1138
0.91,6059,11.4,15.8,1790
0.92,6201,12.4,17.4,1535
0.94,6487,19.0,23.6,1141
0.93,6272,14.4,19.7,1295
0.94,5700,19.0,23.3,1107
0.88,6548,9.8,11.9,2477
0.94,6190,17.6,23.3,1179
0.94,7000,17.8,22.3,1139
0.85,4000,11.0,14.3,1804
0.89,5203,13.1,19.6,1629
0.94,6532,17.8,22.1,1150
0.91,5868,13.1,16.2,1520
0.8,3374,10.3,11.3,1757
0.77,3016,10.4,12.0,1599
0.88,6838,10.7,12.7,2554
0.88,6437,11.7,13.5,2442
0.95,6412,22.9,28.6,943
0.87,5536,12.0,13.8,2088
0.86,5842,11.6,12.9,2183
0.95,7196,21.4,26.6,946
0.54,1098,5.7,7.6,1294
0.96,7164,21.5,30.0,886
0.74,1779,4.3,6.0,1436
0.95,7014,20.5,26.2,968
0.94,7437,15.1,20.3,1254
0.87,5849,14.0,15.1,2208
0.96,7386,26.5,31.6,779
0.96,6965,20.6,27.0,865
0.95,6338,19.6,26.3,885
