void_fraction,surface_area_m2g,pld,lcd,surface_area_m2cm3
0.95,6340,41.9,45.9,1010
0.91,3079,26.7,31.8,870
0.96,5117,46.1,53.5,510
0.96,4031,48.5,57.7,428
0.97,5677,48.0,54.2,527
0.97,5558,47.7,54.0,519
0.97,5861,48.4,54.5,501
0.97,5668,49.1,54.1,498
0.97,4485,53.7,64.5,397
0.97,5900,48.9,54.7,499
0.97,5520,50.1,54.9,466
0.95,7062,45.9,49.3,951
0.97,5646,54.5,61.2,432
0.92,3535,28.8,32.6,900
0.97,5520,53.4,59.9,439
0.97,5773,54.0,61.2,424
0.97,5336,54.2,59.6,417
0.98,5951,59.5,66.5,380
0.98,5761,69.2,76.4,303
0.98,5337,59.0,64.5,372
0.98,6314,62.0,69.5,330
0.98,6563,60.7,67.7,348
0.95,6617,45.1,49.5,919
0.91,3139,27.2,33.2,808
0.91,2953,26.4,33.4,819
0.91,3109,28.1,33.9,789
0.92,3290,32.5,37.6,726
0.92,3424,30.0,34.4,795
0.92,3351,29.8,35.8,779
0.94,5107,20.5,23.2,1002
0.97,6360,30.7,33.8,594
0.97,6224,31.8,33.5,578
0.97,6341,32.3,34.1,542
0.95,6185,42.8,47.2,946
0.97,6021,32.5,34.3,538
0.97,6709,32.8,35.0,522
0.97,6791,33.9,36.3,517
0.98,7039,36.1,37.9,454
0.98,6716,37.3,39.9,442
0.98,6412,37.0,39.6,448
0.98,7199,39.5,41.5,401
0.97,6509,30.5,31.9,602
0.98,7195,39.5,41.5,401
0.98,6728,38.5,42.0,399
0.43,601,4.9,7.1,556
0.96,7642,50.5,54.8,837
0.98,6776,42.5,44.5,374
0.98,6919,42.9,45.4,359
0.98,7119,43.9,46.3,344
0.98,6961,43.6,45.9,344
0.98,6544,43.5,45.9,337
0.98,7658,42.5,44.7,339
0.98,7001,42.8,45.7,366
0.98,7575,44.4,49.3,335
0.96,6046,27.4,30.4,676
0.98,7176,43.1,46.4,345
0.96,8136,52.2,54.9,879
0.98,7631,43.4,45.8,379
0.98,7915,45.4,46.9,342
0.98,7811,45.2,47.0,339
0.99,7973,45.8,48.3,317
0.99,7542,45.9,48.4,308
0.99,7067,47.6,51.6,299
0.99,7723,46.3,48.7,304
0.99,7736,46.2,48.7,305
0.99,7599,49.4,52.3,282
0.97,6335,29.3,30.6,640
0.88,3766,29.2,30.5,1353
0.99,7496,48.4,51.3,288
0.99,7769,50.8,53.1,273
0.99,7125,50.3,52.8,266
0.99,7670,54.9,57.1,241
0.99,7388,54.3,57.1,238
0.99,6900,53.7,56.7,235
0.99,8175,57.3,60.4,218
0.99,8411,56.6,59.0,226
0.96,6090,28.1,30.5,673
0.96,6090,26.2,30.8,710
0.89,3578,30.6,31.9,1339
0.96,5939,27.0,31.3,666
0.97,6292,32.1,33.0,586
0.97,6531,28.9,33.3,639
0.97,6234,29.5,33.4,615
0.79,3562,7.7,9.4,2269
0.93,5907,19.8,21.7,1064
0.93,5606,20.2,20.7,1057
0.94,6162,20.9,22.1,996
0.94,5766,20.9,22.1,988
0.95,6869,21.7,22.8,953
0.89,3823,29.2,30.5,1394
0.95,7019,21.2,23.7,960
0.96,7370,23.6,25.0,837
0.96,6716,25.6,27.5,778
0.96,6345,25.4,27.2,774
0.97,7517,26.4,29.0,720
0.93,6540,18.4,19.2,1171
0.97,7508,27.4,28.9,698
0.97,6760,26.6,30.2,678
0.97,6814,30.5,31.5,629
0.97,7016,31.3,32.8,591
0.85,3767,26.8,27.9,1452
0.97,7350,31.4,33.3,573
0.97,7100,31.1,33.2,566
0.97,6565,31.4,33.3,557
0.97,8356,27.9,32.1,586
0.97,7119,29.2,35.1,618
0.97,8105,31.9,34.8,548
0.9,5576,12.9,16.3,1554
0.97,7530,30.5,34.6,543
0.97,7215,30.7,34.3,616
0.97,8379,32.9,34.4,580
0.84,3803,22.6,24.7,1575
0.97,8150,33.0,34.7,567
0.98,8444,34.9,35.7,520
0.98,7970,32.5,35.6,512
0.98,7194,35.7,39.2,475
0.98,8301,34.1,35.4,502
0.98,8291,33.9,35.6,491
0.98,7980,36.8,39.3,443
0.92,6130,13.5,17.4,1478
0.98,7832,36.3,38.5,455
0.98,8224,37.9,39.9,429
0.85,3741,21.8,24.1,1575
0.98,7293,38.3,40.4,405
0.98,8061,41.8,44.2,371
0.98,7621,42.0,44.1,359
0.98,7022,40.5,43.9,361
0.99,8794,44.5,46.8,324
0.99,8964,44.6,46.5,345
0.92,5725,15.8,18.5,1309
0.9,5618,12.4,16.1,1678
0.92,5527,16.3,18.8,1306
0.93,5503,19.7,21.0,1091
0.6,847,11.6,12.7,1096
0.92,6042,16.6,20.0,1270
0.93,5708,18.0,21.0,1182
0.88,4765,12.2,13.3,1726
0.95,6397,22.8,25.9,888
0.95,6215,23.2,24.6,882
0.96,6655,24.5,25.6,817
0.96,6200,24.5,26.0,801
0.96,7245,25.4,27.1,769
0.96,7331,25.6,26.5,772
0.97,7652,27.5,28.9,661
0.79,2196,25.0,26.9,1184
0.97,7070,29.1,31.3,647
0.97,6702,29.4,31.0,641
0.97,7745,30.8,32.4,576
0.92,5919,15.5,18.9,1339
0.97,7684,31.7,33.0,573
0.98,7063,32.0,34.2,548
0.98,7079,34.1,35.5,533
0.98,7238,34.6,37.1,505
0.98,7518,35.5,37.2,481
0.98,7323,34.6,37.3,483
0.04,0,2.1,2.7,0
0.8,2249,27.3,28.9,1201
0.98,6796,34.3,36.8,475
0.98,8483,34.1,36.1,468
0.98,7391,34.3,37.4,515
0.98,8212,35.6,38.9,467
0.94,6214,18.6,21.1,1094
0.98,7705,34.7,38.0,464
0.98,7894,35.6,37.7,529
0.98,8630,36.7,38.0,481
0.98,8503,36.6,38.2,477
0.98,8768,37.1,39.3,438
0.83,2610,25.6,27.4,1310
0.98,8136,37.6,39.7,420
0.98,7382,39.4,42.9,411
0.98,8407,37.7,39.8,416
0.98,8353,38.3,40.2,414
0.98,8087,41.1,43.9,380
0.95,6569,20.7,21.7,998
0.98,8012,40.1,42.5,391
0.98,8316,42.2,44.2,367
0.98,7538,41.8,44.0,356
0.99,8136,46.1,48.4,319
0.82,2540,26.9,27.9,1347
0.99,7757,45.4,48.4,315
0.98,7185,44.0,48.2,314
0.99,8802,48.8,51.2,281
0.99,9159,48.1,50.6,296
0.94,6288,16.7,21.9,1136
0.94,6305,18.3,22.0,1101
0.94,6087,18.7,23.0,1024
0.95,6394,23.5,24.3,909
0.95,6482,21.4,24.2,971
0.95,6248,20.4,24.4,974
0.86,3272,31.2,31.9,1306
0.89,4895,12.8,13.9,1650
0.95,6626,23.7,24.9,890
0.95,6324,23.3,24.8,877
0.96,6743,24.5,25.6,809
0.96,6243,24.6,26.0,791
0.96,7294,25.2,26.8,766
0.96,7426,25.7,26.6,772
0.97,7807,27.6,29.1,664
0.97,7160,28.3,31.7,643
0.97,6749,29.2,31.0,634
0.86,3217,30.0,31.0,1298
0.98,7850,31.0,32.6,576
0.93,6101,17.2,19.8,1214
0.97,7867,31.0,32.9,579
0.98,7126,31.1,34.0,554
0.98,7153,34.5,35.2,527
0.98,7347,34.6,36.9,501
0.98,7656,35.3,37.2,482
0.98,7445,35.0,37.0,479
0.98,6859,35.1,37.0,468
0.98,8633,34.2,36.3,470
0.89,3932,33.5,35.0,1321
0.98,7441,33.3,36.7,515
0.98,8286,35.7,38.8,470
0.94,6323,19.0,21.8,1084
0.98,7784,34.3,38.8,457
0.98,7851,36.2,37.5,521
0.98,8684,36.8,38.2,478
0.98,8540,36.7,38.2,473
0.98,8843,37.2,39.3,436
0.98,8236,37.7,39.9,419
0.98,7492,38.6,42.4,410
0.88,3540,33.2,34.9,1271
0.98,8543,38.0,39.6,417
0.98,8567,37.5,40.3,420
0.98,8257,40.6,42.9,382
0.95,6758,20.9,21.7,1005
0.98,8120,40.2,42.8,391
0.98,8438,41.6,44.0,369
0.98,7559,41.9,44.2,352
0.99,8278,45.7,48.0,321
0.99,7880,45.3,48.1,316
0.99,7241,45.4,48.0,308
0.88,3335,32.7,34.1,1283
0.99,8985,48.1,50.9,285
0.99,9187,48.0,50.5,294
0.94,6361,17.8,22.4,1054
0.94,6323,16.2,21.2,1202
0.94,6173,17.8,22.9,1041
0.95,6451,23.6,24.4,901
0.95,6604,20.7,24.3,985
0.95,6312,21.0,24.0,972
0.93,5429,16.0,17.8,1292
0.96,6848,27.4,29.3,728
0.9,4140,35.8,36.9,1247
0.96,6630,26.9,28.1,729
0.97,6928,28.2,29.4,670
0.97,6458,28.3,29.8,656
0.97,7445,28.4,30.9,637
0.97,7542,28.1,31.1,639
0.98,7860,31.1,32.9,559
0.98,7273,32.6,34.7,538
0.98,6897,31.6,35.6,537
0.98,7907,34.7,36.3,489
0.95,6393,19.6,24.0,984
0.72,1687,16.8,17.7,1330
0.98,7956,34.6,36.4,494
0.98,7233,36.0,37.6,467
0.98,7249,38.0,39.0,451
0.98,7458,37.8,40.8,432
0.98,7748,38.6,40.7,417
0.98,7542,38.4,40.6,413
0.98,6972,37.9,40.7,410
0.98,8586,37.8,39.7,406
0.98,7540,37.3,41.7,439
0.98,8335,38.9,43.4,400
0.48,698,4.4,6.7,600
0.9,4186,37.7,38.6,1230
0.96,6604,23.5,24.4,876
0.98,7827,38.9,42.8,398
0.98,8135,38.3,40.7,459
0.98,8643,40.6,41.8,411
0.98,8495,40.1,41.9,406
0.98,8793,41.1,43.1,378
0.98,8233,41.2,43.5,364
0.99,7551,43.4,46.2,354
0.99,8504,41.6,43.4,362
0.99,8508,42.0,44.0,358
0.92,4785,47.7,48.7,1036
0.99,8272,44.4,46.7,333
0.96,6974,24.6,25.6,818
0.99,8151,43.3,46.4,342
0.99,8454,45.2,47.5,324
0.99,7614,45.5,47.9,309
0.99,8288,48.2,50.9,288
0.99,7929,48.6,51.8,280
0.99,7301,47.7,51.4,278
0.99,8972,51.5,54.7,254
0.99,9138,51.5,54.1,262
0.9,3853,38.1,39.6,1181
0.96,6591,22.9,26.8,817
0.95,6594,17.9,24.7,994
0.96,6379,21.4,26.4,861
0.96,6710,26.9,27.7,744
0.96,6935,25.6,27.8,810
0.96,6591,25.8,28.7,777
0.93,5506,16.2,18.7,1242
0.97,6903,28.1,30.1,687
0.96,6665,28.0,29.7,688
0.97,6942,29.4,30.6,632
0.91,4047,39.3,40.5,1144
0.97,6516,29.6,31.0,620
0.97,7457,30.7,32.4,602
0.97,7532,29.9,32.2,608
0.98,7848,32.4,34.1,529
0.98,7264,34.2,36.5,510
0.98,6919,33.4,36.2,509
0.98,7899,36.0,37.7,465
0.95,6429,18.9,23.8,1014
0.98,7884,36.4,37.9,463
0.98,7222,36.5,38.8,448
0.91,4307,40.6,41.8,1119
0.98,7255,39.0,40.2,429
0.98,7440,39.8,41.5,409
0.98,7708,40.1,42.2,396
0.98,7506,39.5,41.9,397
0.98,6996,39.1,41.7,389
0.98,8544,39.0,41.0,387
0.98,7501,37.0,42.2,425
0.98,8275,40.4,44.0,382
0.96,6637,24.3,26.0,815
0.98,7798,41.0,43.4,378
0.91,4276,40.5,41.7,1133
0.98,8154,39.5,42.6,437
0.98,8647,41.7,43.1,392
0.98,8498,41.3,43.3,388
0.99,8747,42.4,44.4,360
0.98,8206,42.3,44.6,348
0.99,7540,44.2,48.3,341
0.99,8477,42.7,44.7,346
0.99,8503,42.5,45.3,349
0.99,8246,45.5,48.2,320
0.96,6992,25.7,26.9,764
0.91,3952,39.5,40.9,1134
0.99,8102,44.4,48.4,327
0.99,8423,46.6,49.1,310
0.99,7622,46.6,49.1,297
0.99,8237,50.4,52.6,273
0.99,7908,50.1,53.4,269
0.99,7317,48.0,52.2,272
0.99,8899,53.1,56.0,244
0.99,9105,53.1,56.0,252
0.96,6626,23.3,26.7,815
0.96,6642,23.8,26.5,821
0.93,5140,41.0,41.8,1143
0.96,6423,23.3,27.0,804
0.96,6753,28.1,29.1,699
0.96,6962,26.1,28.6,762
0.96,6595,27.6,30.2,714
0.8,3597,8.3,9.8,2172
0.93,5849,19.4,21.3,1069
0.93,5627,20.2,20.7,1056
0.94,6162,21.0,22.2,991
0.94,5773,20.9,22.2,985
0.95,6881,21.6,23.1,947
0.91,3961,41.6,42.7,1086
0.95,7033,21.2,22.9,947
0.96,7400,21.0,25.8,871
0.96,6752,25.5,27.8,772
0.96,6330,25.4,28.0,768
0.96,7556,27.4,28.7,700
0.9,5520,13.7,16.0,1531
0.97,7553,27.2,28.8,715
0.97,6784,27.5,29.9,662
0.97,6816,30.7,31.3,627
0.97,7034,31.2,32.5,591
0.92,4898,41.3,43.0,1090
0.97,7363,31.4,33.3,573
0.97,7106,31.1,33.4,568
0.97,6540,30.8,33.4,559
0.98,8403,30.6,32.2,558
0.97,7121,30.2,33.2,607
0.97,8123,31.7,34.6,548
0.91,5742,15.9,16.8,1378
0.97,7534,31.7,34.4,539
